Date,Close
9/1/2015,"1,142.3"
9/2/2015,"1,137.8"
9/3/2015,"1,128.0"
9/4/2015,"1,118.3"
9/7/2015,"1,119.5"
9/8/2015,"1,121.2"
9/9/2015,"1,109.9"
9/10/2015,"1,109.5"
9/11/2015,"1,100.3"
9/14/2015,"1,104.8"
9/15/2015,"1,106.0"
9/16/2015,"1,117.6"
9/17/2015,"1,117.5"
9/18/2015,"1,141.5"
9/21/2015,"1,133.3"
9/22/2015,"1,122.9"
9/23/2015,"1,131.4"
9/24/2015,"1,154.5"
9/25/2015,"1,146.7"
9/28/2015,"1,131.1"
9/29/2015,"1,132.1"
9/30/2015,"1,114.0"
10/1/2015,"1,119.0"
10/2/2015,"1,140.8"
10/5/2015,"1,139.8"
10/6/2015,"1,147.5"
10/7/2015,"1,144.6"
10/8/2015,"1,140.0"
10/9/2015,"1,151.6"
10/12/2015,"1,164.9"
10/13/2015,"1,165.2"
10/14/2015,"1,173.9"
10/15/2015,"1,184.3"
10/16/2015,"1,180.9"
10/19/2015,"1,175.4"
10/20/2015,"1,177.8"
10/21/2015,"1,167.1"
10/22/2015,"1,167.0"
10/23/2015,"1,161.3"
10/26/2015,"1,166.4"
10/27/2015,"1,165.7"
10/28/2015,"1,179.6"
10/29/2015,"1,148.6"
10/30/2015,"1,142.4"
11/2/2015,"1,134.0"
11/3/2015,"1,123.1"
11/4/2015,"1,114.7"
11/5/2015,"1,106.3"
11/6/2015,"1,088.9"
11/9/2015,"1,089.6"
11/10/2015,"1,087.1"
11/11/2015,"1,085.9"
11/12/2015,"1,087.4"
11/13/2015,"1,081.5"
11/16/2015,"1,084.8"
11/17/2015,"1,079.2"
11/18/2015,"1,067.8"
11/19/2015,"1,082.6"
11/20/2015,"1,081.8"
11/23/2015,"1,070.5"
11/24/2015,"1,076.4"
11/25/2015,"1,068.0"
11/26/2015,"1,071.0"
11/27/2015,"1,057.4"
11/30/2015,"1,061.9"
12/1/2015,"1,065.4"
12/2/2015,"1,055.4"
12/3/2015,"1,055.5"
12/4/2015,"1,079.3"
12/7/2015,"1,075.8"
12/8/2015,"1,072.1"
12/9/2015,"1,081.0"
12/10/2015,"1,071.0"
12/11/2015,"1,072.5"
12/14/2015,"1,068.3"
12/15/2015,"1,061.5"
12/16/2015,"1,075.3"
12/17/2015,"1,049.4"
12/18/2015,"1,062.5"
12/21/2015,"1,078.8"
12/22/2015,"1,074.9"
